Logdir logdir\m2fix_exp1_delta_full_s0
Create envs.
Simulate agent.
Encoder CNN shapes: {}
Encoder MLP shapes: {'symbolic': (147,)}
Decoder CNN shapes: {}
Decoder MLP shapes: {'symbolic': (147,)}
        39,632: rssm
       146,181: actor
       210,431: value
        78,335: reward
        13,057: cont
       170,240: encoder
       182,675: decoder
Optimizer has: 840551 parameters.
Evaluating the policy...
[3528] episode/score 1.0 / episode/length 15.0
[3542] episode/score 1.0 / episode/length 14.0
[3562] episode/score 0.9 / episode/length 20.0
[3572] episode/score 1.0 / episode/length 10.0
[3592] episode/score 0.9 / episode/length 20.0
[3609] episode/score 1.0 / episode/length 17.0
[3622] episode/score 1.0 / episode/length 13.0
[3637] episode/score 1.0 / episode/length 15.0
[3656] episode/score 1.0 / episode/length 19.0
[3670] episode/score 1.0 / episode/length 14.0
[3682] episode/score 1.0 / episode/length 12.0
[3703] episode/score 0.9 / episode/length 21.0
[3718] episode/score 1.0 / episode/length 15.0
[3733] episode/score 1.0 / episode/length 15.0
[3745] episode/score 1.0 / episode/length 12.0
[3759] episode/score 1.0 / episode/length 14.0
[3773] episode/score 1.0 / episode/length 14.0
[3787] episode/score 1.0 / episode/length 14.0
[3800] episode/score 1.0 / episode/length 13.0
[3820] episode/score 0.9 / episode/length 20.0
[3835] episode/score 1.0 / episode/length 15.0
[3849] episode/score 1.0 / episode/length 14.0
[3858] episode/score 1.0 / episode/length 9.0
[3869] episode/score 1.0 / episode/length 11.0
[3891] episode/score 0.9 / episode/length 22.0
[3905] episode/score 1.0 / episode/length 14.0
[3919] episode/score 1.0 / episode/length 14.0
[3939] episode/score 0.9 / episode/length 20.0
[3952] episode/score 1.0 / episode/length 13.0
[3964] episode/score 1.0 / episode/length 12.0
[3984] episode/score 0.9 / episode/length 20.0
[3995] episode/score 1.0 / episode/length 11.0
[4008] episode/score 1.0 / episode/length 13.0
[4019] episode/score 1.0 / episode/length 11.0
[4036] episode/score 1.0 / episode/length 17.0
[4053] episode/score 1.0 / episode/length 17.0
[4076] episode/score 0.9 / episode/length 23.0
[4097] episode/score 0.9 / episode/length 21.0
[4113] episode/score 1.0 / episode/length 16.0
[4132] episode/score 1.0 / episode/length 19.0
[4150] episode/score 1.0 / episode/length 18.0
[4170] episode/score 0.9 / episode/length 20.0
[4182] episode/score 1.0 / episode/length 12.0
[4199] episode/score 1.0 / episode/length 17.0
[4214] episode/score 1.0 / episode/length 15.0
[4233] episode/score 1.0 / episode/length 19.0
[4250] episode/score 1.0 / episode/length 17.0
[4269] episode/score 1.0 / episode/length 19.0
[4283] episode/score 1.0 / episode/length 14.0
[4306] episode/score 0.9 / episode/length 23.0
[4319] episode/score 1.0 / episode/length 13.0
[4329] episode/score 1.0 / episode/length 10.0
[4345] episode/score 1.0 / episode/length 16.0
[4362] episode/score 1.0 / episode/length 17.0
[4373] episode/score 1.0 / episode/length 11.0
[4390] episode/score 1.0 / episode/length 17.0
[4399] episode/score 1.0 / episode/length 9.0
[4413] episode/score 1.0 / episode/length 14.0
[4429] episode/score 1.0 / episode/length 16.0
[4453] episode/score 0.9 / episode/length 24.0
[4465] episode/score 1.0 / episode/length 12.0
[4484] episode/score 1.0 / episode/length 19.0
[4497] episode/score 1.0 / episode/length 13.0
[4510] episode/score 1.0 / episode/length 13.0
[4523] episode/score 1.0 / episode/length 13.0
[4538] episode/score 1.0 / episode/length 15.0
[4553] episode/score 1.0 / episode/length 15.0
[4565] episode/score 1.0 / episode/length 12.0
[4578] episode/score 1.0 / episode/length 13.0
[4591] episode/score 1.0 / episode/length 13.0
[4607] episode/score 1.0 / episode/length 16.0
[4627] episode/score 0.9 / episode/length 20.0
[4646] episode/score 1.0 / episode/length 19.0
[4660] episode/score 1.0 / episode/length 14.0
[4676] episode/score 1.0 / episode/length 16.0
[4694] episode/score 1.0 / episode/length 18.0
[4709] episode/score 1.0 / episode/length 15.0
[4719] episode/score 1.0 / episode/length 10.0
[4731] episode/score 1.0 / episode/length 12.0
[4746] episode/score 1.0 / episode/length 15.0
[4766] episode/score 0.9 / episode/length 20.0
[4780] episode/score 1.0 / episode/length 14.0
[4793] episode/score 1.0 / episode/length 13.0
[4810] episode/score 1.0 / episode/length 17.0
[4826] episode/score 1.0 / episode/length 16.0
[4849] episode/score 0.9 / episode/length 23.0
[4864] episode/score 1.0 / episode/length 15.0
[4877] episode/score 1.0 / episode/length 13.0
[4894] episode/score 1.0 / episode/length 17.0
[4905] episode/score 1.0 / episode/length 11.0
[4923] episode/score 1.0 / episode/length 18.0
[4933] episode/score 1.0 / episode/length 10.0
[4948] episode/score 1.0 / episode/length 15.0
[4962] episode/score 1.0 / episode/length 14.0
[4984] episode/score 0.9 / episode/length 22.0
[5006] episode/score 0.9 / episode/length 22.0
[5018] episode/score 1.0 / episode/length 12.0
[5036] episode/score 1.0 / episode/length 18.0
[5054] episode/score 1.0 / episode/length 18.0
[5066] train/ndnf_delta 0.1 / train/dyn_entropy 9.3 / train/rep_entropy 10.3 / train/act_entropy_coef 0.0 / train/ret 0.0 / train/ret_005 0.0 / train/ret_095 0.0 / train/adv 0.0 / train/adv_std 0.0 / train/con 0.5 / train/rew 0.0 / train/val 0.0 / train/tar 0.0 / train/slowval 0.0 / train/weight 0.1 / train/action_entropy 1.6 / train/action_mean 0.2 / train/action_std 0.4 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.6 / train/ret_replay_std 0.3 / train/ret_replay_min 0.0 / train/ret_replay_max 1.0 / train/value_replay_mean 0.0 / train/value_replay_std 0.0 / train/value_replay_min 0.0 / train/value_replay_max 0.0 / train/slow_value_replay_mean 0.0 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.0 / train/slow_value_replay_max 0.0 / train/loss/dyn 1.2 / train/loss/rep 1.2 / train/loss/ground 0.8 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 33.3 / train/loss/rew 5.4 / train/loss/con 0.7 / train/loss/policy -0.0 / train/loss/value 0.7 / train/loss/repval 10.0 / train/opt/loss 45.2 / train/opt/lr 0.0 / train/opt/grad_scale 8192.0 / train/opt/updates 157.0 / fps/fps 49.2
[5066] episode/score 1.0 / episode/length 12.0
[5077] episode/score 1.0 / episode/length 11.0
[5099] episode/score 0.9 / episode/length 22.0
[5118] episode/score 1.0 / episode/length 19.0
[5130] episode/score 1.0 / episode/length 12.0
[5154] episode/score 0.9 / episode/length 24.0
[5174] episode/score 0.9 / episode/length 20.0
[5192] episode/score 1.0 / episode/length 18.0
[5204] episode/score 1.0 / episode/length 12.0
[5226] episode/score 0.9 / episode/length 22.0
[5242] episode/score 1.0 / episode/length 16.0
[5263] episode/score 0.9 / episode/length 21.0
[5276] episode/score 1.0 / episode/length 13.0
[5296] episode/score 0.9 / episode/length 20.0
[5308] episode/score 1.0 / episode/length 12.0
[5320] episode/score 1.0 / episode/length 12.0
[5331] episode/score 1.0 / episode/length 11.0
[5349] episode/score 1.0 / episode/length 18.0
[5364] episode/score 1.0 / episode/length 15.0
[5383] episode/score 1.0 / episode/length 19.0
[5397] episode/score 1.0 / episode/length 14.0
[5410] episode/score 1.0 / episode/length 13.0
[5425] episode/score 1.0 / episode/length 15.0
[5439] episode/score 1.0 / episode/length 14.0
[5453] episode/score 1.0 / episode/length 14.0
[5466] episode/score 1.0 / episode/length 13.0
[5479] episode/score 1.0 / episode/length 13.0
[5495] episode/score 1.0 / episode/length 16.0
[5504] episode/score 1.0 / episode/length 9.0
[5520] episode/score 1.0 / episode/length 16.0
[5532] episode/score 1.0 / episode/length 12.0
[5544] episode/score 1.0 / episode/length 12.0
[5562] episode/score 1.0 / episode/length 18.0
[5578] episode/score 1.0 / episode/length 16.0
[5591] episode/score 1.0 / episode/length 13.0
[5606] episode/score 1.0 / episode/length 15.0
[5620] episode/score 1.0 / episode/length 14.0
[5634] episode/score 1.0 / episode/length 14.0
[5650] episode/score 1.0 / episode/length 16.0
[5666] episode/score 1.0 / episode/length 16.0
[5677] episode/score 1.0 / episode/length 11.0
[5691] episode/score 1.0 / episode/length 14.0
[5714] episode/score 0.9 / episode/length 23.0
[5733] episode/score 1.0 / episode/length 19.0
[5745] episode/score 1.0 / episode/length 12.0
[5769] episode/score 0.9 / episode/length 24.0
[5781] episode/score 1.0 / episode/length 12.0
[5796] episode/score 1.0 / episode/length 15.0
[5811] episode/score 1.0 / episode/length 15.0
[5825] episode/score 1.0 / episode/length 14.0
[5835] episode/score 1.0 / episode/length 10.0
[5851] episode/score 1.0 / episode/length 16.0
[5865] episode/score 1.0 / episode/length 14.0
[5877] episode/score 1.0 / episode/length 12.0
[5891] episode/score 1.0 / episode/length 14.0
[5911] episode/score 0.9 / episode/length 20.0
[5928] episode/score 1.0 / episode/length 17.0
[5940] episode/score 1.0 / episode/length 12.0
[5958] episode/score 1.0 / episode/length 18.0
[5970] episode/score 1.0 / episode/length 12.0
[5982] episode/score 1.0 / episode/length 12.0
[5994] episode/score 1.0 / episode/length 12.0
[6010] episode/score 1.0 / episode/length 16.0
[6032] episode/score 0.9 / episode/length 22.0
[6047] episode/score 1.0 / episode/length 15.0
[6064] episode/score 1.0 / episode/length 17.0
[6078] episode/score 1.0 / episode/length 14.0
[6091] episode/score 1.0 / episode/length 13.0
[6105] episode/score 1.0 / episode/length 14.0
[6118] episode/score 1.0 / episode/length 13.0
[6128] episode/score 1.0 / episode/length 10.0
[6147] episode/score 1.0 / episode/length 19.0
[6159] episode/score 1.0 / episode/length 12.0
[6171] episode/score 1.0 / episode/length 12.0
[6190] episode/score 1.0 / episode/length 19.0
[6202] episode/score 1.0 / episode/length 12.0
[6218] episode/score 1.0 / episode/length 16.0
[6227] episode/score 1.0 / episode/length 9.0
[6241] episode/score 1.0 / episode/length 14.0
[6260] episode/score 1.0 / episode/length 19.0
[6273] episode/score 1.0 / episode/length 13.0
[6285] episode/score 1.0 / episode/length 12.0
[6297] episode/score 1.0 / episode/length 12.0
[6316] episode/score 1.0 / episode/length 19.0
[6337] episode/score 0.9 / episode/length 21.0
[6355] episode/score 1.0 / episode/length 18.0
[6369] episode/score 1.0 / episode/length 14.0
[6383] episode/score 1.0 / episode/length 14.0
[6392] episode/score 1.0 / episode/length 9.0
[6404] episode/score 1.0 / episode/length 12.0
[6421] episode/score 1.0 / episode/length 17.0
[6434] episode/score 1.0 / episode/length 13.0
[6460] episode/score 0.9 / episode/length 26.0
[6474] episode/score 1.0 / episode/length 14.0
[6492] episode/score 1.0 / episode/length 18.0
[6508] episode/score 1.0 / episode/length 16.0
[6538] episode/score 0.9 / episode/length 30.0
[6559] episode/score 0.9 / episode/length 21.0
[6573] episode/score 1.0 / episode/length 14.0
[6584] episode/score 1.0 / episode/length 11.0
[6599] episode/score 1.0 / episode/length 15.0
[6617] episode/score 1.0 / episode/length 18.0
