Logdir logdir\ndnf_dreamer_demo_s0
Create envs.
Simulate agent.
Encoder CNN shapes: {}
Encoder MLP shapes: {'symbolic': (147,)}
Decoder CNN shapes: {}
Decoder MLP shapes: {'symbolic': (147,)}
        39,760: rssm
       146,695: actor
       210,431: value
        78,335: reward
        13,057: cont
       170,240: encoder
       182,675: decoder
Optimizer has: 841193 parameters.
Evaluating the policy...
[3293] episode/score 1.0 / episode/length 18.0
[3316] episode/score 0.9 / episode/length 23.0
[3328] episode/score 1.0 / episode/length 12.0
[3345] episode/score 1.0 / episode/length 17.0
[3355] episode/score 1.0 / episode/length 10.0
[3365] episode/score 1.0 / episode/length 10.0
[3380] episode/score 1.0 / episode/length 15.0
[3388] episode/score 1.0 / episode/length 8.0
[3399] episode/score 1.0 / episode/length 11.0
[3413] episode/score 1.0 / episode/length 14.0
[3424] episode/score 1.0 / episode/length 11.0
[3438] episode/score 1.0 / episode/length 14.0
[3450] episode/score 1.0 / episode/length 12.0
[3464] episode/score 1.0 / episode/length 14.0
[3476] episode/score 1.0 / episode/length 12.0
[3493] episode/score 1.0 / episode/length 17.0
[3513] episode/score 0.9 / episode/length 20.0
[3532] episode/score 1.0 / episode/length 19.0
[3549] episode/score 1.0 / episode/length 17.0
[3563] episode/score 1.0 / episode/length 14.0
[3579] episode/score 1.0 / episode/length 16.0
[3601] episode/score 0.9 / episode/length 22.0
[3614] episode/score 1.0 / episode/length 13.0
[3630] episode/score 1.0 / episode/length 16.0
[3645] episode/score 1.0 / episode/length 15.0
[3669] episode/score 0.9 / episode/length 24.0
[3680] episode/score 1.0 / episode/length 11.0
[3703] episode/score 0.9 / episode/length 23.0
[3715] episode/score 1.0 / episode/length 12.0
[3731] episode/score 1.0 / episode/length 16.0
[3743] episode/score 1.0 / episode/length 12.0
[3759] episode/score 1.0 / episode/length 16.0
[3773] episode/score 1.0 / episode/length 14.0
[3787] episode/score 1.0 / episode/length 14.0
[3800] episode/score 1.0 / episode/length 13.0
[3820] episode/score 0.9 / episode/length 20.0
[3837] episode/score 1.0 / episode/length 17.0
[3850] episode/score 1.0 / episode/length 13.0
[3859] episode/score 1.0 / episode/length 9.0
[3881] episode/score 0.9 / episode/length 22.0
[3904] episode/score 0.9 / episode/length 23.0
[3919] episode/score 1.0 / episode/length 15.0
[3933] episode/score 1.0 / episode/length 14.0
[3951] episode/score 1.0 / episode/length 18.0
[3965] episode/score 1.0 / episode/length 14.0
